Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15pf,
"C10, C11, C14, C19, C20, C21, C22, C3, C4, C5, C6, C7, C8, C9",0402,14,100n,
"C12, C13",0402,2,1u,
"C15, C16, C17, C18",0402,4,10u,
"D1, D2",D_SOD-323,2,BAT60A,
D3,0603,1,LED,
"D4, D5, D6, D7",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,4,WS2812B,
"GP5, GP6, GP7, RESET, SW1",SW_SPST_B3U-1000P,5,SW_Push,
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_14P,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J4,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16,
L1,L_Sunlord_SWPA4020S,1,2.2uH,
"R1, R2",0402,2,5.1k,
"R10, R4",0402,2,1k,
"R11, R12",0402,2,30,
R3,0402,1,100,
R5,0402,1,470,
R6,0402,1,10k,
R7,0402,1,2k,
R8,0402,1,100k,
R9,0402,1,200k,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U3,Texas_DRC0010J_ThermalVias,1,TPS63001,
U4,rpi_rmc20452t,1,Raspberry Pi Radio Module 2,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
