Designator,Mid X,Mid Y,Rotation,Layer
C1,85.56,-51.89,270.0,top
C10,78.41,-56.26,270.0,top
C11,72.065,-53.89,0.0,top
C12,70.135,-46.465,135.0,top
C13,71.06,-45.59,135.0,top
C14,62.505,-50.24,180.0,top
C15,52.535,-46.44,270.0,top
C16,57.085,-42.79,270.0,top
C17,53.285,-40.54,0.0,top
C18,53.735,-49.74,90.0,top
C19,164.23,-50.66,0.0,top
C2,88.06,-48.04,0.0,top
C20,172.28,-50.61,0.0,top
C21,179.59,-50.72,0.0,top
C22,187.03,-50.66,0.0,top
C3,83.635,-48.89,0.0,top
C4,71.86,-49.765,135.0,top
C5,71.585,-47.89,135.0,top
C6,73.01,-45.94,90.0,top
C7,76.07,-56.31,270.0,top
C8,80.285,-44.94,0.0,top
C9,83.635,-50.065,0.0,top
D1,46.1,-46.2,180.0,top
D2,49.7,-46.2,0.0,top
D3,49.716,-49.748,0.0,top
D4,166.8,-54.0,0.0,top
D5,174.2,-54.0,0.0,top
D6,181.6,-54.0,0.0,top
D7,189.0,-54.0,0.0,top
GP5,124.0,-41.0,90.0,top
GP6,130.0,-41.0,90.0,top
GP7,136.0,-41.0,90.0,top
J1,39.0,-49.0,270.0,top
J2,57.075,-54.0,90.0,top
J4,98.23,-40.35,270.0,top
L1,49.96,-42.74,270.0,top
R1,45.146,-47.716,0.0,top
R10,52.256,-50.256,180.0,top
R11,65.9,-48.13,0.0,top
R12,65.9,-47.08,0.0,top
R2,45.05,-49.94,0.0,top
R3,54.27,-45.74,0.0,top
R4,69.16,-58.12,90.0,top
R5,236.66,-40.096,180.0,top
R6,228.67,-47.54,0.0,top
R7,52.86,-57.52,180.0,top
R8,61.96,-54.73,90.0,top
R9,61.96,-52.74,90.0,top
RESET,148.0,-41.0,90.0,top
SW1,72.8,-57.46,90.0,top
U1,77.4,-50.5625,180.0,top
U2,66.0,-54.0,0.0,top
U3,54.3,-43.2,0.0,top
U4,241.0,-49.0,270.0,top
U5,49.9,-53.8,90.0,top
Y1,88.05,-50.7,270.0,top
